pwsId,longitude,latitude,countryCode,country,locId,address,city
I5290,32.766,34.885,CY,Cyprus,CYXX0795:1:CY,"Agios Nikolaos, Paphos, Cyprus",Agios Nikolaos
IAGRA7,78.01,27.175,IN,India,INXX0203:1:IN,"Agra, Uttar Pradesh, India",Agra
ILUGANO94,8.915,45.968,CH,Switzerland,CHXX8636:1:CH,"Agra, Ticino, Switzerland",Agra
KOKCUSHI7,-96.872,35.895,US,United States,USOK0007:1:US,"Agra, Oklahoma, United States",Agra
KKSKENSI3,-99.119,39.762,US,United States,USKS0005:1:US,"Agra, Kansas, United States",Agra
IAGRIGEN5,13.575,37.312,IT,Italy,ITSI1016:1:IT,"Agrigento, Agrigento, Italy",Agrigento
IAGROP2,14.997,40.347,IT,Italy,ITCM1013:1:IT,"Agropoli, Salerno, Italy",Agropoli
IAGROP2,15.003,40.337,IT,Italy,ITCM1014:1:IT,"Agropoli Sud, Agropoli, Salerno, Italy",Agropoli
IAHMED22,72.58,23.022,IN,India,INGJ0568:1:IN,"Ahmedabad, Gujarat, India",Ahmedabad
IGARD2,4.191,43.566,FR,France,FRPA0778:1:FR,"Aigues-Mortes, Gard, France",Aigues-Mortes
IAIXEN3,5.447,43.53,FR,France,FRXX0001:1:FR,"Aix-en-Provence, Provence-Alpes-Côte d'Azur, France",Aix-en-Provence
IRHNEALP41,5.915,45.689,FR,France,FRRA2359:1:FR,"Aix-les-Bains, Savoie, France",Aix-les-Bains
IAJACC7,8.738,41.926,FR,France,FRXX0129:1:FR,"Ajaccio, Corse-du-Sud, France",Ajaccio
ISHARJ7,55.445,25.394,AE,United Arab Emirates,AEXX0166:1:AE,"Ajman, Ajman, United Arab Emirates",Ajman
KOHAKRON124,-81.518,41.083,US,United States,USOH0008:1:US,"Akron, Ohio, United States",Akron
KNYAKRON14,-78.5,43.023,US,United States,USNY0009:1:US,"Akron, New York, United States",Akron
KCOAKRON15,-103.214,40.161,US,United States,USCO0003:1:US,"Akron, Colorado, United States",Akron
KINAKRON8,-86.028,41.038,US,United States,USIN0002:1:US,"Akron, Indiana, United States",Akron
KSDALCES6,-96.559,42.829,US,United States,USIA0008:1:US,"Akron, Iowa, United States",Akron
KALAKRON2,-87.743,32.877,US,United States,USAL0006:1:US,"Akron, Alabama, United States",Akron
KPAAKRON8,-76.202,40.157,US,United States,USPA0014:1:US,"Akron, Pennsylvania, United States",Akron
KMIAKRON10,-83.514,43.568,US,United States,USMI0007:1:US,"Akron, Michigan, United States",Akron
IALAIN10,55.747,24.226,AE,United Arab Emirates,AEXX0474:1:AE,"Al Ain, Abu Dhabi, United Arab Emirates",Al Ain
IALANY1,32.002,36.544,TR,Türkiye,TRXX5182:1:TR,"Alanya, Antalya, Türkiye",Alanya
IALAR13,2.791,39.706,ES,Spain,ESPM0268:1:ES,"Alaró, Balearic Islands, Spain",Alaró
IALBAC24,-1.856,38.995,ES,Spain,ESXX0278:1:ES,"Albacete, Albacete, Spain",Albacete
KNYALBAN101,-73.755,42.651,US,United States,USNY0011:1:US,"Albany, New York, United States",Albany
KGAALBAN18,-84.156,31.578,US,United States,USGA0009:1:US,"Albany, Georgia, United States",Albany
KORALBAN119,-123.106,44.637,US,United States,USOR0005:1:US,"Albany, Oregon, United States",Albany
KCAALBAN20,-122.298,37.887,US,United States,USCA0010:1:US,"Albany, California, United States",Albany
KMNALBAN1,-94.57,45.63,US,United States,USMN0010:1:US,"Albany, Minnesota, United States",Albany
KLAALBAN2,-90.582,30.504,US,United States,USLA0007:1:US,"Albany, Louisiana, United States",Albany
IALBAN39,117.884,-35.025,AU,Australia,AUXX0413:1:AU,"Albany, Western Australia, Australia",Albany
KKYALBAN9,-85.135,36.692,US,United States,USKY0642:1:US,"Albany, Kentucky, United States",Albany
IALBAN129,174.663,-36.693,NZ,New Zealand,NZXX0810:1:NZ,"Albany, Auckland, New Zealand",Albany
IALBEN9,8.213,44.049,IT,Italy,ITLG1004:1:IT,"Albenga, Savona, Italy",Albenga
IMIDIPYR71,2.148,43.928,FR,France,FRXX0002:1:FR,"Albi, Tarn, France",Albi
IFARODIS6,-8.246,37.09,PT,Portugal,PTXX5776:1:PT,"Albufeira, Faro, Portugal",Albufeira
KNMALBUQ1384,-106.651,35.084,US,United States,USNM0004:1:US,"Albuquerque, New Mexico, United States",Albuquerque
KNMALBUQ750,-106.582,35.161,US,United States,USNM0514:1:US,"Albuquerque Meadows, Albuquerque, New Mexico, United States",Albuquerque
KNMALBUQ1133,-106.517,35.179,US,United States,USNM0523:1:US,"North Albuquerque Acres, Albuquerque, New Mexico, United States",Albuquerque
KPAWINDR3,-80.446,39.824,US,United States,USPA0020:1:US,"Aleppo, Pennsylvania, United States",Aleppo
IALESS4,8.615,44.913,IT,Italy,ITXX0106:1:IT,"Alessandria, Alessandria, Italy",Alessandria
ILESUND30,6.155,62.471,NO,Norway,NOXX0097:1:NO,"Ålesund, Møre og Romsdal, Norway",Ålesund
ICAALGEC4,-5.447,36.131,ES,Spain,ESXX0088:1:ES,"Algeciras, Cádiz, Spain",Algeciras
IRIVER52,-75.317,2.525,CO,Colombia,COHL0012:1:CO,"Algeciras, Huila, Colombia",Algeciras
IALGHE5,8.315,40.56,IT,Italy,ITXX0101:1:IT,"Alghero, Sassari, Italy",Alghero
IKAGIS1,24.064,-26.621,ZA,South Africa,ZAXX9700:1:ZA,"Algiers, North West, South Africa",Algiers
IALICA47,-0.488,38.344,ES,Spain,ESXX0008:1:ES,"Alicante, Alicante, Spain",Alicante
IALKMAAR64,4.75,52.632,NL,Netherlands,NLXX0001:1:NL,"Alkmaar, North Holland, Netherlands",Alkmaar
ICOMMEWI2,-55.022,5.845,SR,Suriname,SRXX0095:1:SR,"Alkmaar, Commewijne, Suriname",Alkmaar
KPAALLEN129,-75.471,40.602,US,United States,USPA0025:1:US,"Allentown, Pennsylvania, United States",Allentown
KNJALLEN29,-74.583,40.178,US,United States,USNJ0006:1:US,"Allentown, New Jersey, United States",Allentown
KGAJEFFE44,-83.226,32.593,US,United States,USGA0011:1:US,"Allentown, Georgia, United States",Allentown
KNYBOLIV2,-78.064,42.084,US,United States,USNY0022:1:US,"Allentown, New York, United States",Allentown
IALTEA13,-0.047,38.603,ES,Spain,ESXX0314:1:ES,"Altea, Alicante, Spain",Altea
IALTEA23,-0.044,38.63,ES,Spain,ESXX5947:1:ES,"Altea la Vella, Altea, Alicante, Spain",Altea
KPAALTOO32,-78.395,40.519,US,United States,USPA0031:1:US,"Altoona, Pennsylvania, United States",Altoona
KIAALTOO38,-93.47,41.644,US,United States,USIA0023:1:US,"Altoona, Iowa, United States",Altoona
KWIALTOO19,-91.443,44.805,US,United States,USWI0013:1:US,"Altoona, Wisconsin, United States",Altoona
KALALTOO5,-86.326,34.026,US,United States,USAL0018:1:US,"Altoona, Alabama, United States",Altoona
KFLUMATI46,-81.649,28.966,US,United States,USFL0005:1:US,"Altoona, Florida, United States",Altoona
KKSNEODE4,-95.661,37.524,US,United States,USKS0015:1:US,"Altoona, Kansas, United States",Altoona
KIAALTOO38,-93.481,41.655,US,United States,USIA0023:1:US,"Altoona Meadows, Altoona, Iowa, United States",Altoona
IRAVELLO2,14.603,40.634,IT,Italy,ITXX0371:1:IT,"Amalfi, Salerno, Italy",Amalfi
IVEGAC1,-75.074,6.907,CO,Colombia,COXX0960:1:CO,"Amalfi, Antioquia, Colombia",Amalfi
IAPASCAL2,-87.619,13.343,HN,Honduras,HNXX8450:1:HN,"Amapala, Valle, Honduras",Amapala
KTXAMARI324,-101.834,35.207,US,United States,USTX0029:1:US,"Amarillo, Texas, United States",Amarillo
IDAMGA3,-2.557,47.554,FR,France,FRBR0967:1:FR,"Ambon, Morbihan, France",Ambon
IAMERSFO189,5.39,52.156,NL,Netherlands,NLXX7301:1:NL,"Amersfoort, Utrecht, Netherlands",Amersfoort
IMAJUB1,29.866,-27.009,ZA,South Africa,ZAXX0086:1:ZA,"Amersfoort, Mpumalanga, South Africa",Amersfoort
IAMIEN10,2.296,49.894,FR,France,FRXX0269:1:FR,"Amiens, Somme, France",Amiens
IAMIEN10,2.318,49.894,FR,France,FRXX0269:1:FR,"Amiens II-La Vallée, Amiens, Somme, France",Amiens
IAMMAN49,35.924,31.952,JO,Jordan,JOXX0002:1:JO,"Amman, Amman, Jordan",Amman
INORTHHO27,4.9,52.378,NL,Netherlands,NLXX6244:1:NL,"Amsterdam, North Holland, Netherlands",Amsterdam
KNYAMSTE149,-74.185,42.943,US,United States,USNY0035:1:US,"Amsterdam, New York, United States",Amsterdam
IKLEIN77,-58.209,6.675,GY,Guyana,GYXX0333:1:GY,"Amsterdam, Essequibo Islands-West Demerara, Guyana",Amsterdam
KOHAMSTE3,-80.923,40.474,US,United States,USOH0023:1:US,"Amsterdam, Ohio, United States",Amsterdam
KCAANAHE116,-117.912,33.835,US,United States,USCA0027:1:US,"Anaheim, California, United States",Anaheim
KCAANAHE152,-117.912,33.797,US,United States,USCA9000:1:US,"Anaheim Resort, Anaheim, California, United States",Anaheim
KCAANAHE208,-117.777,33.844,US,United States,USCA1200:1:US,"Anaheim Hills, Anaheim, California, United States",Anaheim
KCAANAHE185,-117.798,33.859,US,United States,USCA0052:1:US,"Anaheim Canyon Business Center, Anaheim, California, United States",Anaheim
KCAANAHE116,-117.91,33.837,US,United States,USCA0027:1:US,"Anaheim Colony, Anaheim, California, United States",Anaheim
KAKANCHO477,-149.895,61.216,US,United States,USAK0012:1:US,"Anchorage, Alaska, United States",Anchorage
KKYLOUIS406,-85.533,38.267,US,United States,USKY1493:1:US,"Anchorage, Kentucky, United States",Anchorage
IANCONA282,13.517,43.617,IT,Italy,ITXX0102:1:IT,"Ancona, Ancona, Italy",Ancona
KILSTREA34,-88.873,41.041,US,United States,USIL0030:1:US,"Ancona, Illinois, United States",Ancona
IMOLVE3,11.003,46.166,IT,Italy,ITTA1015:1:IT,"Andalo, Trentino, Italy",Andalo
IGSCHE1,8.595,46.634,CH,Switzerland,CHXX0079:1:CH,"Andermatt, Uri, Switzerland",Andermatt
IANDRA13,2.42,39.575,ES,Spain,ESXX1131:1:ES,"Andratx, Balearic Islands, Spain",Andratx
IANDRI9,16.295,41.228,IT,Italy,ITPG1014:1:IT,"Andria, Barletta-Andria-Trani, Italy",Andria
IANGER54,-0.552,47.474,FR,France,FRXX0137:1:FR,"Angers, Maine-et-Loire, France",Angers
IGATINEA30,-75.495,45.522,CA,Canada,CAXX1930:1:CA,"Angers, Quebec, Canada",Angers
IGATINEA30,-75.485,45.531,CA,Canada,CAXX3632:1:CA,"Angers, Angers, Quebec, Canada",Angers
IGONDPON15,0.158,45.651,FR,France,FRXX0314:1:FR,"Angoulême, Charente, France",Angoulême
IANKARA40,32.854,39.921,TR,Türkiye,TRXX2776:1:TR,"Ankara, Ankara, Türkiye",Ankara
ITILLA1,1.883,12.933,NE,Niger,NEXX5449:1:NE,"Ankara, Tillabéri, Niger",Ankara
KMIANNAR122,-83.731,42.268,US,United States,USMI0028:1:US,"Ann Arbor, Michigan, United States",Ann Arbor
KMDANNAP2728,-76.493,38.979,US,United States,USMD0010:1:US,"Annapolis, Maryland, United States",Annapolis
KMDANNAP2761,-76.486,38.941,US,United States,USMD0581:1:US,"Annapolis Neck, Maryland, United States",Annapolis
KMOANNAP6,-90.698,37.36,US,United States,USMO0021:1:US,"Annapolis, Missouri, United States",Annapolis
KILMARTI13,-87.817,39.144,US,United States,USIL0034:1:US,"Annapolis, Illinois, United States",Annapolis
KCAANNAP8,-123.37,38.722,US,United States,USCA0032:1:US,"Annapolis, California, United States",Annapolis
I74ALBIG6,6.129,45.899,FR,France,FRXX0360:1:FR,"Annecy, Haute-Savoie, France",Annecy
IANNEC3,6.147,45.908,FR,France,FRXX0360:1:FR,"Annecy-le-Vieux-Albigny, Annecy, Haute-Savoie, France",Annecy
IKONYA12,30.695,36.901,TR,Türkiye,TRXX5357:1:TR,"Antalya, Antalya, Türkiye",Antalya
IANTAN1,47.526,-18.91,MG,Madagascar,MGXX1748:1:MG,"Antananarivo, Analamanga, Madagascar",Antananarivo
IANTIB12,7.109,43.584,FR,France,FRXX1723:1:FR,"Antibes, Alpes-Maritimes, France",Antibes
IANTIG8,-90.733,14.559,GT,Guatemala,GTXX4490:1:GT,"Antigua Guatemala, Sacatepéquez, Guatemala",Antigua Guatemala
IANTWE4,4.4,51.221,BE,Belgium,BEXX5060:1:BE,"Antwerp, Antwerp, Belgium",Antwerp
KOHANTWE5,-84.741,41.181,US,United States,USOH0027:1:US,"Antwerp, Ohio, United States",Antwerp
KNYANTWE1,-75.607,44.199,US,United States,USNY0043:1:US,"Antwerp, New York, United States",Antwerp
IANZIO18,12.629,41.447,IT,Italy,ITXX0213:1:IT,"Anzio, Rome, Italy",Anzio
IAPELD56,5.964,52.216,NL,Netherlands,NLXX2851:1:NL,"Apeldoorn, Gelderland, Netherlands",Apeldoorn
IPAGOP5,-171.803,-13.837,WS,Samoa,WSXX0375:1:WS,"Apia, Tuamasaga, Samoa",Apia
KWIAPPLE124,-88.407,44.261,US,United States,USWI0020:1:US,"Appleton, Wisconsin, United States",Appleton
KNYAPPLE3,-78.649,43.327,US,United States,USNY0045:1:US,"Appleton, New York, United States",Appleton
KMEUNION8,-69.251,44.289,US,United States,USME0429:1:US,"Appleton, Maine, United States",Appleton
KMNAPPLE97,-96.02,45.197,US,United States,USMN0028:1:US,"Appleton, Minnesota, United States",Appleton
IAQABA16,35.008,29.527,JO,Jordan,JOXX0154:1:JO,"Aqaba, Aqaba, Jordan",Aqaba
IARACA2,-37.077,-10.916,BR,Brazil,BRXX0011:1:BR,"Aracaju, Sergipe, Brazil",Aracaju
IARCACHO24,-1.176,44.654,FR,France,FRXX3648:1:FR,"Arcachon, Gironde, France",Arcachon
IARENZ1,8.683,44.403,IT,Italy,ITLG1337:1:IT,"Arenzano, Genoa, Italy",Arenzano
ICAYMA1,-71.537,-16.4,PE,Peru,PEXX0001:1:PE,"Arequipa, Arequipa, Peru",Arequipa
ITOSCANA93,11.878,43.463,IT,Italy,ITXX0251:1:IT,"Arezzo, Arezzo, Italy",Arezzo
IARGOS6,20.488,38.174,GR,Greece,GRVI0461:1:GR,"Argostoli, Ionian Islands, Greece",Argostoli
IARICA4,-70.321,-18.479,CL,Chile,CLXX3213:1:CL,"Arica, Arica y Parinacota, Chile",Arica
IARLES86,4.631,43.678,FR,France,FRPA1007:1:FR,"Arles, Bouches-du-Rhône, France",Arles
IARMAG12,-6.654,54.348,GB,United Kingdom,GBXX0545:1:GB,"Armagh, Armagh, Northern Ireland, United Kingdom",Armagh
KPAARMAG5,-79.032,40.454,US,United States,USPA0054:1:US,"Armagh, Pennsylvania, United States",Armagh
ISAINT5213,-70.587,46.745,CA,Canada,CAXX1043:1:CA,"Armagh, Quebec, Canada",Armagh
ISAINT5213,-70.59,46.718,CA,Canada,CAXX1043:1:CA,"Armagh Station, Armagh, Quebec, Canada",Armagh
IARNHE105,5.911,51.984,NL,Netherlands,NLXX0065:1:NL,"Arnhem, Gelderland, Netherlands",Arnhem
IARNHEM66,5.928,51.978,NL,Netherlands,NLXX3238:1:NL,"Arnhemse Broek, Arnhem, Gelderland, Netherlands",Arnhem
IARNHE41,5.945,52.004,NL,Netherlands,NLXX3020:1:NL,"Arnhemse Allee, Arnhem, Gelderland, Netherlands",Arnhem
IAROSA31,9.678,46.78,CH,Switzerland,CHXX0087:1:CH,"Arosa, Grisons, Switzerland",Arosa
IGONDO8,-8.222,41.55,PT,Portugal,PTXX2670:1:PT,"Arosa, Braga, Portugal",Arosa
IARRAS23,2.777,50.291,FR,France,FRNC1145:1:FR,"Arras, Pas-de-Calais, France",Arras
IARREC4,-13.55,28.964,ES,Spain,ESXX0012:1:ES,"Arrecife, Las Palmas, Las Palmas, Spain",Arrecife
IARREC4,-13.55,28.96,ES,Spain,ESXX0012:1:ES,"Arrecife Centro, Arrecife, Las Palmas, Spain",Arrecife
IART42,3.351,39.695,ES,Spain,ESXX0337:1:ES,"Artà, Balearic Islands, Spain",Artà
KNJASBUR30,-74.012,40.22,US,United States,USNJ0013:1:US,"Asbury Park, New Jersey, United States",Asbury Park
KNJASBUR30,-74.017,40.221,US,United States,USNJ0013:1:US,"West Asbury Park, Asbury Park, New Jersey, United States",Asbury Park
IASCOL3,13.576,42.855,IT,Italy,ITXX0104:1:IT,"Ascoli Piceno, Ascoli Piceno, Italy",Ascoli Piceno
ILOSON1,8.771,46.155,CH,Switzerland,CHXX0090:1:CH,"Ascona, Ticino, Switzerland",Ascona
IAZRIQ1,34.653,31.798,IL,Israel,ILXX0038:1:IL,"Ashdod, Southern District, Israel",Ashdod
IYADMO1,34.573,31.664,IL,Israel,ILXX0039:1:IL,"Ashkelon, Southern District, Israel",Ashkelon
ITIMELFA2,38.915,15.322,ER,Eritrea,ERXX0956:1:ER,"Asmara, Maekel, Eritrea",Asmara
KCOASPEN52,-106.824,39.191,US,United States,USCO0016:1:US,"Aspen, Colorado, United States",Aspen
IASTI26,8.207,44.901,IT,Italy,ITXX0202:1:IT,"Asti, Asti, Italy",Asti
KORASTOR107,-123.831,46.188,US,United States,USOR0017:1:US,"Astoria, Oregon, United States",Astoria
KILASTOR3,-90.36,40.228,US,United States,USIL0054:1:US,"Astoria, Illinois, United States",Astoria
KSDASTOR1,-96.545,44.558,US,United States,USSD0014:1:US,"Astoria, South Dakota, United States",Astoria
KORASTOR107,-123.831,46.188,US,United States,USOR0017:1:US,"Astoria Downtown, Astoria, Oregon, United States",Astoria
KGAATHEN46,-83.376,33.96,US,United States,USGA0027:1:US,"Athens, Georgia, United States",Athens
IATHENS31,23.728,37.984,GR,Greece,GRXX6064:1:GR,"Athens, Attica, Greece",Athens
KOHATHEN20,-82.101,39.329,US,United States,USOH0037:1:US,"Athens, Ohio, United States",Athens
KALATHEN126,-86.971,34.805,US,United States,USAL0032:1:US,"Athens, Alabama, United States",Athens
KTXATHEN11,-95.855,32.204,US,United States,USTX0054:1:US,"Athens, Texas, United States",Athens
KTNATHEN16,-84.593,35.443,US,United States,USTN0021:1:US,"Athens, Tennessee, United States",Athens
KWVATHEN3,-81.016,37.422,US,United States,USWV0029:1:US,"Athens, West Virginia, United States",Athens
KMIATHEN6,-85.235,42.089,US,United States,USMI0035:1:US,"Athens, Michigan, United States",Athens
KPASAYRE11,-76.518,41.957,US,United States,USPA0065:1:US,"Athens, Pennsylvania, United States",Athens
KNYATHEN7,-73.81,42.26,US,United States,USNY0060:1:US,"Athens, New York, United States",Athens
IATHLO7,18.502,-33.967,ZA,South Africa,ZAWP0016:1:ZA,"Athlone, Western Cape, South Africa",Athlone
IATHLO6,-7.943,53.423,IE,Ireland,IEXX0055:1:IE,"Athlone, Westmeath, Ireland",Athlone
IATHLO6,-7.943,53.418,IE,Ireland,IEXX0055:1:IE,"Athlone And Bigmeadow, Athlone, Westmeath, Ireland",Athlone
KGAATLAN330,-84.39,33.749,US,United States,USGA0028:1:US,"Atlanta, Georgia, United States",Atlanta
KTXATLAN30,-94.166,33.116,US,United States,USTX0055:1:US,"Atlanta, Texas, United States",Atlanta
KINATLAN9,-86.026,40.215,US,United States,USIN0019:1:US,"Atlanta, Indiana, United States",Atlanta
KILATLAN7,-89.233,40.26,US,United States,USIL0057:1:US,"Atlanta, Illinois, United States",Atlanta
KMIATLAN12,-84.144,45.005,US,United States,USMI0036:1:US,"Atlanta, Michigan, United States",Atlanta
KKSATLAN6,-96.769,37.436,US,United States,USKS0030:1:US,"Atlanta, Kansas, United States",Atlanta
KMOATLAN4,-92.481,39.899,US,United States,USMO0037:1:US,"Atlanta, Missouri, United States",Atlanta
KLAWINNF7,-92.738,31.805,US,United States,USLA0022:1:US,"Atlanta, Louisiana, United States",Atlanta
KNEHOLDR21,-99.473,40.368,US,United States,USNE0027:1:US,"Atlanta, Nebraska, United States",Atlanta
KNJATLAN32,-74.443,39.359,US,United States,USNJ0015:1:US,"Atlantic City, New Jersey, United States",Atlantic City
KWYLANDE28,-108.731,42.497,US,United States,USWY0215:1:US,"Atlantic City, Wyoming, United States",Atlantic City
IAUCKL803,174.763,-36.852,NZ,New Zealand,NZXX0003:1:NZ,"Auckland, Auckland, New Zealand",Auckland
IAUCKL580,174.765,-36.848,NZ,New Zealand,NZXX0003:1:NZ,"Auckland Central, Auckland, Auckland, New Zealand",Auckland
IAUCKL584,174.8,-37.0,NZ,New Zealand,NZXX1154:1:NZ,"Auckland Airport, Auckland, Auckland, New Zealand",Auckland
IAUGSB19,10.899,48.367,DE,Germany,DEXX0004:1:DE,"Augsburg, Bavaria, Germany",Augsburg
IAUGSB11,10.864,48.382,DE,Germany,DESW0540:1:DE,"Augsburg-Kriegshaber, Augsburg, Bavaria, Germany",Augsburg
IAUGSB39,10.82,48.319,DE,Germany,DEBY0760:1:DE,"Augsburg-Bergheim, Augsburg, Bavaria, Germany",Augsburg
IAUGSBUR183,10.88,48.394,DE,Germany,DESW0540:1:DE,"Oberhausen, Augsburg, Bavaria, Germany",Augsburg
IAUGSB38,10.868,48.364,DE,Germany,DESW0762:1:DE,"Pfersee, Augsburg, Bavaria, Germany",Augsburg
KTXAUSTI1257,-97.744,30.271,US,United States,USTX0057:1:US,"Austin, Texas, United States",Austin
KMNAUSTI21,-92.974,43.668,US,United States,USMN0037:1:US,"Austin, Minnesota, United States",Austin
KINAUSTI3,-85.808,38.758,US,United States,USIN0024:1:US,"Austin, Indiana, United States",Austin
KARAUSTI11,-91.984,34.998,US,United States,USAR0024:1:US,"Austin, Arkansas, United States",Austin
KNVAUSTI9,-117.07,39.493,US,United States,USNV0004:1:US,"Austin, Nevada, United States",Austin
IAUXER5,3.571,47.796,FR,France,FRXX0008:1:FR,"Auxerre, Yonne, France",Auxerre
IAVARU1,-159.775,-21.224,CK,Cook Islands,CKXX0001:1:CK,"Avarua, Rarotonga, Cook Islands",Avarua
IAVEIR7,-8.654,40.64,PT,Portugal,PTXX0006:1:PT,"Aveiro, Aveiro, Portugal",Aveiro
IBELTE3,-55.331,-3.605,BR,Brazil,BRXX1094:1:BR,"Aveiro, Pará, Brazil",Aveiro
IAVELL13,14.789,40.914,IT,Italy,ITCM1454:1:IT,"Avellino, Avellino, Italy",Avellino
ILESAN8,4.806,43.949,FR,France,FRXX0270:1:FR,"Avignon, Vaucluse, France",Avignon
KCASANLU235,-120.732,35.18,US,United States,USCA0058:1:US,"Avila Beach, California, United States",Avila Beach
KCAAZUSA25,-117.906,34.134,US,United States,USCA0059:1:US,"Azusa, California, United States",Azusa
IBADGA9,13.135,47.114,AT,Austria,ATXX0140:1:AT,"Bad Gastein, Salzburg, Austria",Bad Gastein
ISALZBUR156,13.106,47.17,AT,Austria,ATXX0062:1:AT,"Bad Hofgastein, Salzburg, Austria",Bad Hofgastein
IENNET5,8.309,47.474,CH,Switzerland,CHXX0003:1:CH,"Baden, Aargau, Switzerland",Baden
IBADEN696,16.233,48.009,AT,Austria,ATXX0001:1:AT,"Baden, Lower Austria, Austria",Baden
KPABADEN12,-80.228,40.635,US,United States,USPA0076:1:US,"Baden, Pennsylvania, United States",Baden
IBADEN646,-2.918,47.62,FR,France,FRBR0954:1:FR,"Baden, Morbihan, France",Baden
IMAMMA3,45.205,36.136,IQ,Iraq,IQSU0079:1:IQ,"Baden, Sulaymaniyah, Iraq",Baden
IJIZAN3,44.812,16.497,YE,Yemen,YEJA0314:1:YE,"Baghdad, Al Jawf, Yemen",Baghdad
